0.01865872937099076,0.0068548711905869805,0.47657688019271255,0.007164665540622363,0.05473201099965834,0.06332467952723532,0.02422107095758899,0.0008211359515258624,0.04596937496085297,0.26309996534043,0.03700107493897372,0.001575541028822405,0
0.00902093516636772,0.006541304314343489,0.5261629795107625,0.013409557520867487,0.13545964727164822,0.02995933256815999,0.03776206817585757,0.0018320319007339133,0.007094702657875945,0.18844824479092634,0.043535128174484385,0.0007740679479723005,0
0.011697535839109858,0.018517721156116076,0.4662818209254894,0.006931653726557961,0.1932477416238464,0.07078555184678197,0.07735271362422326,0.008696032117173435,0.019890746201709227,0.07325024590439962,0.04916337906666598,0.004184857967926631,0
0.014702360730522841,0.03142997963302711,0.4215640273221292,0.017419588591764523,0.05178718589787593,0.14610605860092402,0.0261258685126239,0.0023692516593427503,0.10455230971247448,0.12976823482497735,0.04459198814024463,0.009583146374093058,0
0.020989507381887592,0.03594998589832544,0.6367687759954207,0.020250095965483966,0.023520438012899724,0.10513860995701764,0.013761449184274063,0.0017850533416388036,0.02895341640833564,0.06664938669645414,0.04272337844363313,0.003509902714629124,0
0.015120082684010034,0.027832643873450105,0.7161593316378582,0.009004937700092712,0.018636171852930573,0.1399597830002628,0.011375419640850974,0.003794847025858871,0.030099553352841535,0.016002445962641325,0.008796275405836357,0.0032185078633665386,0
0.016368314229933748,0.015618538150622134,0.525941852635778,0.025734817998512488,0.03015375944455637,0.18465579472598803,0.01933202181560215,0.003859503711112097,0.05833022189640422,0.07042827004207705,0.047211364718277804,0.0023655406311359926,0
0.017796803205689018,0.004000504560258291,0.6132047958092488,0.044110279332423966,0.028775826872885917,0.1030311547922847,0.017631315722068934,0.0015784736163054816,0.044534045958714484,0.08055503287746922,0.03815304151510853,0.006628725737542579,0
0.06696820860508235,0.09935977491602248,0.13077523957504122,0.1517629117038936,0.09062035402834838,0.10038035576055351,0.026999501101049553,0.018826366315458032,0.09963357303997793,0.14574828448611038,0.04959800779760524,0.019327422670857387,0
0.07213267276561111,0.07751635083358148,0.30370122043347875,0.12046720148838007,0.08729370766234318,0.08680154243336365,0.021990887862957734,0.01399296207448184,0.08330780542129881,0.07555461308333067,0.03170028832905398,0.02554074761211885,0
0.024219297878240516,0.043795213866374264,0.5968070346288404,0.010567687922194884,0.0433797553779565,0.116227756671748,0.016693234013656518,0.0021408247141802834,0.046785942350857514,0.0829651807684384,0.01353477432719018,0.0028832974803226696,0
0.024381793903547295,0.0363407244564486,0.40780460751234116,0.015162283332020986,0.054619618538413295,0.16699196252102114,0.02287402015950871,0.0030698251792586535,0.060844056319664774,0.12654662840793857,0.07914120173842187,0.0022232779314148455,0
0.011953784704694709,0.004192642734039154,0.5234270915122384,0.015498686316653161,0.015315805127652914,0.17422732107876918,0.02455367917372127,0.0013833539689402231,0.03929696575444219,0.1591354353048079,0.029651058788928982,0.001364175535111937,0
0.00748164027984711,0.007251375547620636,0.6310532253552386,0.03369422673609236,0.019928562916355752,0.11482988917703095,0.014625623093195463,0.0013896517973087865,0.0338696912411414,0.09141082166079001,0.04251015749047893,0.001955134704899994,0
0.024308304868549707,0.08012162532551093,0.5340728376048725,0.07360751555163482,0.040721101398403084,0.06942082895068609,0.016331210481183717,0.006477602374242292,0.07921569670149525,0.04840847825844271,0.023111503135530218,0.004203295349448893,0
0.02469824135588661,0.032872411076828346,0.599005181461564,0.021985396571664383,0.02118906741193682,0.16999435487559603,0.010762451017944845,0.0013917786430219356,0.025527950023833765,0.05804584757472101,0.019791635751693775,0.0147356842353083,0
0.03704470306574113,0.004986691338812307,0.6413711886526938,0.028543112353476844,0.019040406457595808,0.14326815211078725,0.013942848321920102,0.003024834523000107,0.025032899722685374,0.0464878742686081,0.03424506173082952,0.003012227453849522,0
0.024674529464349927,0.04813825886845316,0.5226090836836595,0.0736425481336954,0.029650858421737508,0.1410956504330434,0.01585232502625924,0.004534149349517499,0.03278048785315063,0.06239876519435426,0.04014461890070657,0.004478724671072843,0
0.029732447286606088,0.007717985224991185,0.5477621917329686,0.009305506685947137,0.011251512742894964,0.10710155038469403,0.019855611344418784,0.009016537330628774,0.04639324287246119,0.14797538791132903,0.05428206990616991,0.009605956576890236,0
0.03178520466282487,0.08409898843524925,0.3920822823223109,0.009289776235633141,0.041973549325303894,0.18440389772352517,0.03511954704939468,0.002514576420391042,0.057167243920876396,0.09210015392826106,0.053343156589885275,0.016121623386344337,0
0.04713513367448147,0.08414416526931942,0.24149230639199468,0.006646355290452828,0.1118869023653743,0.43341568398205504,0.02105505637590547,0.0036423421756597543,0.026723903280350653,0.004558801989048244,0.01702558833352075,0.0022737608718374665,0
